Date,Year,Month,Day,Weeknumber,Python_Chile
2018-11-18,2018,11,18,46,52
2018-11-25,2018,11,25,47,49
2018-12-02,2018,12,02,48,47
2018-12-09,2018,12,09,49,43
2018-12-16,2018,12,16,50,36
2018-12-23,2018,12,23,51,29
2018-12-30,2018,12,30,52,30
2019-01-06,2019,01,06,00,41
2019-01-13,2019,01,13,01,39
2019-01-20,2019,01,20,02,35
2019-01-27,2019,01,27,03,35
2019-02-03,2019,02,03,04,29
2019-02-10,2019,02,10,05,26
2019-02-17,2019,02,17,06,31
2019-02-24,2019,02,24,07,28
2019-03-03,2019,03,03,08,35
2019-03-10,2019,03,10,09,42
2019-03-17,2019,03,17,10,46
2019-03-24,2019,03,24,11,56
2019-03-31,2019,03,31,12,56
2019-04-07,2019,04,07,13,62
2019-04-14,2019,04,14,14,60
2019-04-21,2019,04,21,15,61
2019-04-28,2019,04,28,16,60
2019-05-05,2019,05,05,17,61
2019-05-12,2019,05,12,18,61
2019-05-19,2019,05,19,19,55
2019-05-26,2019,05,26,20,52
2019-06-02,2019,06,02,21,56
2019-06-09,2019,06,09,22,58
2019-06-16,2019,06,16,23,63
2019-06-23,2019,06,23,24,53
2019-06-30,2019,06,30,25,50
2019-07-07,2019,07,07,26,55
2019-07-14,2019,07,14,27,49
2019-07-21,2019,07,21,28,43
2019-07-28,2019,07,28,29,42
2019-08-04,2019,08,04,30,50
2019-08-11,2019,08,11,31,60
2019-08-18,2019,08,18,32,61
2019-08-25,2019,08,25,33,60
2019-09-01,2019,09,01,34,65
2019-09-08,2019,09,08,35,62
2019-09-15,2019,09,15,36,36
2019-09-22,2019,09,22,37,57
2019-09-29,2019,09,29,38,57
2019-10-06,2019,10,06,39,60
2019-10-13,2019,10,13,40,55
2019-10-20,2019,10,20,41,36
2019-10-27,2019,10,27,42,34
2019-11-03,2019,11,03,43,41
2019-11-10,2019,11,10,44,43
2019-11-17,2019,11,17,45,43
2019-11-24,2019,11,24,46,42
2019-12-01,2019,12,01,47,45
2019-12-08,2019,12,08,48,44
2019-12-15,2019,12,15,49,44
2019-12-22,2019,12,22,50,36
2019-12-29,2019,12,29,51,34
2020-01-05,2020,01,05,00,46
2020-01-12,2020,01,12,01,46
2020-01-19,2020,01,19,02,44
2020-01-26,2020,01,26,03,44
2020-02-02,2020,02,02,04,42
2020-02-09,2020,02,09,05,31
2020-02-16,2020,02,16,06,36
2020-02-23,2020,02,23,07,37
2020-03-01,2020,03,01,08,44
2020-03-08,2020,03,08,09,47
2020-03-15,2020,03,15,10,46
2020-03-22,2020,03,22,11,49
2020-03-29,2020,03,29,12,50
2020-04-05,2020,04,05,13,52
2020-04-12,2020,04,12,14,61
2020-04-19,2020,04,19,15,63
2020-04-26,2020,04,26,16,64
2020-05-03,2020,05,03,17,66
2020-05-10,2020,05,10,18,62
2020-05-17,2020,05,17,19,60
2020-05-24,2020,05,24,20,60
2020-05-31,2020,05,31,21,63
2020-06-07,2020,06,07,22,71
2020-06-14,2020,06,14,23,64
2020-06-21,2020,06,21,24,62
2020-06-28,2020,06,28,25,64
2020-07-05,2020,07,05,26,55
2020-07-12,2020,07,12,27,61
2020-07-19,2020,07,19,28,55
2020-07-26,2020,07,26,29,50
2020-08-02,2020,08,02,30,49
2020-08-09,2020,08,09,31,49
2020-08-16,2020,08,16,32,51
2020-08-23,2020,08,23,33,57
2020-08-30,2020,08,30,34,50
2020-09-06,2020,09,06,35,54
2020-09-13,2020,09,13,36,51
2020-09-20,2020,09,20,37,51
2020-09-27,2020,09,27,38,49
2020-10-04,2020,10,04,39,48
2020-10-11,2020,10,11,40,39
2020-10-18,2020,10,18,41,36
2020-10-25,2020,10,25,42,41
2020-11-01,2020,11,01,43,45
2020-11-08,2020,11,08,44,43
2020-11-15,2020,11,15,45,40
2020-11-22,2020,11,22,46,39
2020-11-29,2020,11,29,47,42
2020-12-06,2020,12,06,48,36
2020-12-13,2020,12,13,49,39
2020-12-20,2020,12,20,50,29
2020-12-27,2020,12,27,51,29
2021-01-03,2021,01,03,00,34
2021-01-10,2021,01,10,01,35
2021-01-17,2021,01,17,02,33
2021-01-24,2021,01,24,03,30
2021-01-31,2021,01,31,04,29
2021-02-07,2021,02,07,05,27
2021-02-14,2021,02,14,06,25
2021-02-21,2021,02,21,07,29
2021-02-28,2021,02,28,08,30
2021-03-07,2021,03,07,09,32
2021-03-14,2021,03,14,10,35
2021-03-21,2021,03,21,11,35
2021-03-28,2021,03,28,12,36
2021-04-04,2021,04,04,13,42
2021-04-11,2021,04,11,14,46
2021-04-18,2021,04,18,15,47
2021-04-25,2021,04,25,16,47
2021-05-02,2021,05,02,17,43
2021-05-09,2021,05,09,18,46
2021-05-16,2021,05,16,19,39
2021-05-23,2021,05,23,20,44
2021-05-30,2021,05,30,21,46
2021-06-06,2021,06,06,22,46
2021-06-13,2021,06,13,23,46
2021-06-20,2021,06,20,24,48
2021-06-27,2021,06,27,25,44
2021-07-04,2021,07,04,26,47
2021-07-11,2021,07,11,27,44
2021-07-18,2021,07,18,28,39
2021-07-25,2021,07,25,29,41
2021-08-01,2021,08,01,30,35
2021-08-08,2021,08,08,31,35
2021-08-15,2021,08,15,32,38
2021-08-22,2021,08,22,33,33
2021-08-29,2021,08,29,34,47
2021-09-05,2021,09,05,35,44
2021-09-12,2021,09,12,36,38
2021-09-19,2021,09,19,37,47
2021-09-26,2021,09,26,38,48
2021-10-03,2021,10,03,39,44
2021-10-10,2021,10,10,40,45
2021-10-17,2021,10,17,41,44
2021-10-24,2021,10,24,42,44
2021-10-31,2021,10,31,43,44
2021-11-07,2021,11,07,44,49
2021-11-14,2021,11,14,45,49
2021-11-21,2021,11,21,46,46
2021-11-28,2021,11,28,47,47
2021-12-05,2021,12,05,48,47
2021-12-12,2021,12,12,49,44
2021-12-19,2021,12,19,50,41
2021-12-26,2021,12,26,51,40
2022-01-02,2022,01,02,00,56
2022-01-09,2022,01,09,01,59
2022-01-16,2022,01,16,02,49
2022-01-23,2022,01,23,03,54
2022-01-30,2022,01,30,04,42
2022-02-06,2022,02,06,05,47
2022-02-13,2022,02,13,06,50
2022-02-20,2022,02,20,07,48
2022-02-27,2022,02,27,08,52
2022-03-06,2022,03,06,09,53
2022-03-13,2022,03,13,10,61
2022-03-20,2022,03,20,11,78
2022-03-27,2022,03,27,12,85
2022-04-03,2022,04,03,13,89
2022-04-10,2022,04,10,14,82
2022-04-17,2022,04,17,15,95
2022-04-24,2022,04,24,16,99
2022-05-01,2022,05,01,17,98
2022-05-08,2022,05,08,18,100
2022-05-15,2022,05,15,19,86
2022-05-22,2022,05,22,20,89
2022-05-29,2022,05,29,21,84
2022-06-05,2022,06,05,22,93
2022-06-12,2022,06,12,23,95
2022-06-19,2022,06,19,24,92
2022-06-26,2022,06,26,25,83
2022-07-03,2022,07,03,26,79
2022-07-10,2022,07,10,27,81
2022-07-17,2022,07,17,28,67
2022-07-24,2022,07,24,29,61
2022-07-31,2022,07,31,30,58
2022-08-07,2022,08,07,31,60
2022-08-14,2022,08,14,32,71
2022-08-21,2022,08,21,33,86
2022-08-28,2022,08,28,34,84
2022-09-04,2022,09,04,35,82
2022-09-11,2022,09,11,36,77
2022-09-18,2022,09,18,37,77
2022-09-25,2022,09,25,38,92
2022-10-02,2022,10,02,39,77
2022-10-09,2022,10,09,40,80
2022-10-16,2022,10,16,41,93
2022-10-23,2022,10,23,42,86
2022-10-30,2022,10,30,43,67
2022-11-06,2022,11,06,44,83
2022-11-13,2022,11,13,45,91
2022-11-20,2022,11,20,46,77
2022-11-27,2022,11,27,47,83
2022-12-04,2022,12,04,48,75
2022-12-11,2022,12,11,49,81
2022-12-18,2022,12,18,50,63
2022-12-25,2022,12,25,51,62
2023-01-01,2023,01,01,00,60
2023-01-08,2023,01,08,01,65
2023-01-15,2023,01,15,02,65
2023-01-22,2023,01,22,03,66
2023-01-29,2023,01,29,04,52
2023-02-05,2023,02,05,05,57
2023-02-12,2023,02,12,06,57
2023-02-19,2023,02,19,07,53
2023-02-26,2023,02,26,08,48
2023-03-05,2023,03,05,09,56
2023-03-12,2023,03,12,10,71
2023-03-19,2023,03,19,11,84
2023-03-26,2023,03,26,12,81
2023-04-02,2023,04,02,13,72
2023-04-09,2023,04,09,14,79
2023-04-16,2023,04,16,15,83
2023-04-23,2023,04,23,16,80
2023-04-30,2023,04,30,17,72
2023-05-07,2023,05,07,18,81
2023-05-14,2023,05,14,19,81
2023-05-21,2023,05,21,20,80
2023-05-28,2023,05,28,21,71
2023-06-04,2023,06,04,22,80
2023-06-11,2023,06,11,23,77
2023-06-18,2023,06,18,24,71
2023-06-25,2023,06,25,25,63
2023-07-02,2023,07,02,26,72
2023-07-09,2023,07,09,27,74
2023-07-16,2023,07,16,28,61
2023-07-23,2023,07,23,29,55
2023-07-30,2023,07,30,30,51
2023-08-06,2023,08,06,31,61
2023-08-13,2023,08,13,32,59
2023-08-20,2023,08,20,33,67
2023-08-27,2023,08,27,34,75
2023-09-03,2023,09,03,35,72
2023-09-10,2023,09,10,36,60
2023-09-17,2023,09,17,37,55
2023-09-24,2023,09,24,38,74
2023-10-01,2023,10,01,39,70
2023-10-08,2023,10,08,40,60
2023-10-15,2023,10,15,41,71
2023-10-22,2023,10,22,42,61
2023-10-29,2023,10,29,43,61
2023-11-05,2023,11,05,44,60
2023-11-12,2023,11,12,45,67
